Sl. No.,Month,Total,Month-on-Month Growth %,Year-on-Year Growth %
1,Apr-20,32172,-67.03,-71.75
2,May-20,62151,93.18,-38.03
3,Jun-20,90918,46.29,-9.03
4,Jul-20,87422,-3.85,-14.36
5,Aug-20,86449,-1.11,-11.97
6,Sep-20,95480,10.45,3.88
7,Oct-20,105155,10.13,10.25
8,Nov-20,104963,-0.18,1.42
9,Dec-20,115174,9.73,11.62
10,Jan-21,119875,4.08,8.17
11,Feb-21,113143,-5.62,7.39
12,Mar-21,123902,9.51,26.96
13,Apr-21,139708,12.76,334.25
14,May-21,97821,-29.98,57.39
15,Jun-21,92800,-5.13,2.07
16,Jul-21,116393,25.42,33.14
17,Aug-21,112020,-3.76,29.58
18,Sep-21,117010,4.45,22.55
19,Oct-21,130127,11.21,23.75
20,Nov-21,131526,1.08,25.31
21,Dec-21,129780,-1.33,12.68
22,Jan-22,140986,8.63,17.61
23,Feb-22,133026,-5.65,17.57
24,Mar-22,142095,6.82,14.68
25,Apr-22,167540,17.91,19.92
26,May-22,140885,-15.91,44.02
27,Jun-22,144616,2.65,55.84
28,Jul-22,148995,3.03,28.01
29,Aug-22,143612,-3.61,28.2
30,Sep-22,147686,2.84,26.22
31,Oct-22,151718,2.73,16.59
32,Nov-22,145867,-3.86,10.9
33,Dec-22,149507,2.5,15.2
34,Jan-23,157554,5.38,11.75
35,Feb-23,149577,-5.06,12.44
36,Mar-23,160122,7.05,12.69
37,Apr-23,187035,16.81,11.64
38,May-23,157090,-16.01,11.5
39,Jun-23,161497,2.81,11.67
40,Jul-23,165105,2.23,10.81
41,Aug-23,159069,-3.66,10.76
42,Sep-23,162712,2.29,10.17
43,Oct-23,172003,5.71,13.37
44,Nov-23,167929,-2.37,15.12
