State Code,State/UT,FY 2019-20,FY 2020-21
1,Jammu and Kashmir,4010,3648
2,Himachal Pradesh,7960,7055
3,Punjab,15235,13913
4,Chandigarh,1988,1651
5,Uttarakhand,14722,12339
6,Haryana,59560,54890
7,Delhi,44161,36568
8,Rajasthan,32821,31797
9,Uttar Pradesh,65281,59721
10,Bihar,12640,11638
11,Sikkim,2248,2266
12,Arunachal Pradesh,581,651
13,Nagaland,317,389
14,Manipur,435,392
15,Mizoram,296,257
16,Tripura,680,732
17,Meghalaya,1522,1337
18,Assam,10423,10030
19,West Bengal,43386,39694
20,Jharkhand,22847,20482
21,Odisha,29677,29844
22,Chhattisgarh,24160,24419
23,Madhya Pradesh,28354,27005
24,Gujarat,78923,74346
25,Daman and Diu,1155,305
26,Dadra and Nagar Haveli,1810,2349
27,Maharashtra,185917,165308
28,Karnataka,83408,75660
29,Goa,4280,3270
30,Lakshadweep,20,13
31,Kerala,19234,17349
32,Tamil Nadu,74430,69121
33,Puducherry,1871,1646
34,Andaman and Nicobar Islands,361,255
35,Telangana,39820,36346
36,Andhra Pradesh,27108,26163
37,Ladakh,NA,114
Grand Total,Grand Total,941642,862963
